record_id,gt_coarse_class,baseline_pred,candidate_pred,baseline_correct,candidate_correct,category,candidate_matched_pred,candidate_match_iou,candidate_good_crop,candidate_error_bucket
train_img1_ann1,defect_broken,defect_flashover,defect_broken,False,True,helped,val_img1_pred1,0.7876757153884054,True,correct_pipeline_hit
train_img1_ann2,defect_broken,defect_flashover,defect_broken,False,True,helped,val_img1_pred14,0.9287355472918607,True,correct_pipeline_hit
train_img1_ann4,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img1_pred3,0.959222385675818,True,correct_pipeline_hit
train_img3_ann18,defect_broken,defect_flashover,defect_broken,False,True,helped,val_img2_pred3,0.8379442140095794,True,correct_pipeline_hit
train_img5_ann45,insulator_ok,unknown,insulator_ok,False,True,helped,val_img3_pred3,0.9460915786431955,True,correct_pipeline_hit
train_img5_ann46,insulator_ok,defect_broken,insulator_ok,False,True,helped,val_img3_pred9,0.9635013335291798,True,correct_pipeline_hit
val_img10_ann1043,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img5_pred3,0.9301868926532739,True,correct_pipeline_hit
val_img10_ann1044,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img5_pred1,0.9448785319412244,True,correct_pipeline_hit
val_img17_ann1050,defect_flashover,insulator_ok,defect_flashover,False,True,helped,val_img6_pred33,0.8134621593461339,True,correct_pipeline_hit
val_img17_ann1051,defect_flashover,defect_broken,defect_flashover,False,True,helped,val_img6_pred32,0.9057662855412062,True,correct_pipeline_hit
val_img17_ann1052,defect_flashover,insulator_ok,defect_flashover,False,True,helped,val_img6_pred46,0.8504552425931559,True,correct_pipeline_hit
val_img17_ann1053,defect_flashover,insulator_ok,defect_flashover,False,True,helped,val_img6_pred18,0.8910286013099623,True,correct_pipeline_hit
val_img17_ann1055,defect_flashover,insulator_ok,defect_flashover,False,True,helped,val_img6_pred24,0.9199423876482695,True,correct_pipeline_hit
val_img17_ann1059,defect_flashover,defect_broken,defect_flashover,False,True,helped,val_img6_pred11,0.90849968739652,True,correct_pipeline_hit
val_img31_ann1063,insulator_ok,unknown,insulator_ok,False,True,helped,val_img7_pred4,0.9377457851204901,True,correct_pipeline_hit
val_img33_ann1067,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img8_pred11,0.8844980433978257,True,correct_pipeline_hit
val_img33_ann1069,defect_flashover,defect_broken,defect_flashover,False,True,helped,val_img8_pred15,0.9768079942147687,True,correct_pipeline_hit
val_img33_ann1071,insulator_ok,defect_broken,insulator_ok,False,True,helped,val_img8_pred2,0.9708871104081882,True,correct_pipeline_hit
val_img33_ann1073,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img8_pred4,0.9464292387103848,True,correct_pipeline_hit
val_img33_ann1074,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img8_pred10,0.8933017695865094,True,correct_pipeline_hit
val_img9_ann1037,insulator_ok,defect_flashover,insulator_ok,False,True,helped,val_img4_pred1,0.8966551844762687,True,correct_pipeline_hit
