record_id,qwen_class,dinov2_class,second_best_class,hybrid_class,confidence,policy,reason,changed
val_img1_pred1,defect_flashover,defect_flashover,defect_broken,defect_broken,0.34502684572846,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img1_pred2,defect_flashover,defect_flashover,defect_broken,defect_broken,0.3423909481233443,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img1_pred3,defect_flashover,insulator_ok,defect_broken,insulator_ok,0.3353174410068504,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img1_pred4,insulator_ok,defect_flashover,defect_broken,defect_broken,0.3391221789965407,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img1_pred5,defect_flashover,defect_flashover,defect_broken,defect_broken,0.3345963057919703,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img1_pred6,defect_broken,defect_flashover,defect_broken,defect_broken,0.3426534945138886,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,False
val_img1_pred7,defect_broken,defect_flashover,defect_broken,defect_broken,0.3426376683438107,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,False
val_img1_pred8,defect_broken,defect_flashover,defect_broken,defect_broken,0.341941313970167,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,False
val_img1_pred9,insulator_ok,defect_flashover,defect_broken,defect_broken,0.3400337478911106,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img1_pred10,defect_flashover,defect_broken,insulator_ok,defect_broken,0.3367037622673383,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img1_pred11,defect_flashover,insulator_ok,defect_broken,insulator_ok,0.3351097530732687,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img1_pred12,defect_broken,defect_flashover,defect_broken,defect_broken,0.3396506462536838,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,False
val_img1_pred13,defect_flashover,defect_flashover,defect_broken,defect_broken,0.3438052962899915,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img1_pred14,defect_flashover,defect_flashover,defect_broken,defect_broken,0.3434284156732883,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img1_pred15,insulator_ok,defect_flashover,defect_broken,defect_broken,0.3445172085216665,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img1_pred16,insulator_ok,insulator_ok,defect_broken,insulator_ok,0.3346623314961966,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img1_pred17,defect_flashover,defect_flashover,defect_broken,defect_broken,0.3427495117886741,dinov2_flash_lowconf_second_best_cv0p35,dinov2_flash_lowconf_second_best_cv_0.35,True
val_img2_pred1,defect_broken,defect_broken,defect_flashover,defect_broken,0.3373345108450918,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred2,defect_broken,defect_broken,insulator_ok,defect_broken,0.3398222418089088,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred3,defect_flashover,defect_broken,insulator_ok,defect_broken,0.34410548969608,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img2_pred4,defect_broken,defect_broken,insulator_ok,defect_broken,0.3358382449141128,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred5,insulator_ok,defect_broken,insulator_ok,defect_broken,0.3422900568055885,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img2_pred6,defect_broken,insulator_ok,defect_broken,insulator_ok,0.3422432242262032,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img2_pred7,defect_broken,insulator_ok,defect_broken,insulator_ok,0.3480209343042309,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img2_pred8,defect_broken,defect_broken,insulator_ok,defect_broken,0.3465221509368303,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred9,insulator_ok,defect_broken,insulator_ok,defect_broken,0.3425673415443925,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img2_pred10,defect_broken,defect_broken,insulator_ok,defect_broken,0.3408699688587249,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred11,defect_broken,defect_broken,insulator_ok,defect_broken,0.344565756364928,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred12,insulator_ok,insulator_ok,defect_broken,insulator_ok,0.3450620678155009,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred13,defect_flashover,defect_broken,insulator_ok,defect_broken,0.3450016293790446,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img2_pred14,defect_broken,defect_broken,insulator_ok,defect_broken,0.3419158934063586,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred15,defect_broken,insulator_ok,defect_broken,insulator_ok,0.3436189523294439,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img2_pred16,insulator_ok,defect_broken,insulator_ok,defect_broken,0.3439172243415828,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
val_img2_pred17,defect_broken,defect_broken,insulator_ok,defect_broken,0.3444132677310121,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred18,insulator_ok,insulator_ok,defect_broken,insulator_ok,0.3461740356518961,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,False
val_img2_pred19,insulator_ok,defect_broken,insulator_ok,defect_broken,0.3414375254475827,dinov2_flash_lowconf_second_best_cv0p35,hard_dinov2,True
