record_id,qwen_class,dinov2_class,hybrid_class,confidence,policy,reason,changed
val_img1_pred1,defect_flashover,defect_flashover,defect_flashover,0.34502684572846,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img1_pred2,defect_flashover,defect_flashover,defect_flashover,0.3423909481233443,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img1_pred3,defect_flashover,insulator_ok,insulator_ok,0.3353174410068504,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred4,insulator_ok,defect_flashover,insulator_ok,0.3391221789965407,qwen_ok_veto_flash_lt034,qwen_ok_veto_flash_lt_0.34,False
val_img1_pred5,defect_flashover,defect_flashover,defect_flashover,0.3345963057919703,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img1_pred6,defect_broken,defect_flashover,defect_flashover,0.3426534945138886,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred7,defect_broken,defect_flashover,defect_flashover,0.3426376683438107,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred8,defect_broken,defect_flashover,defect_flashover,0.341941313970167,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred9,insulator_ok,defect_flashover,defect_flashover,0.3400337478911106,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred10,defect_flashover,defect_broken,defect_broken,0.3367037622673383,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred11,defect_flashover,insulator_ok,insulator_ok,0.3351097530732687,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred12,defect_broken,defect_flashover,defect_flashover,0.3396506462536838,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred13,defect_flashover,defect_flashover,defect_flashover,0.3438052962899915,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img1_pred14,defect_flashover,defect_flashover,defect_flashover,0.3434284156732883,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img1_pred15,insulator_ok,defect_flashover,defect_flashover,0.3445172085216665,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img1_pred16,insulator_ok,insulator_ok,insulator_ok,0.3346623314961966,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img1_pred17,defect_flashover,defect_flashover,defect_flashover,0.3427495117886741,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred1,defect_broken,defect_broken,defect_broken,0.3373345108450918,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred2,defect_broken,defect_broken,defect_broken,0.3398222418089088,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred3,defect_flashover,defect_broken,defect_broken,0.34410548969608,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred4,defect_broken,defect_broken,defect_broken,0.3358382449141128,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred5,insulator_ok,defect_broken,defect_broken,0.3422900568055885,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred6,defect_broken,insulator_ok,insulator_ok,0.3422432242262032,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred7,defect_broken,insulator_ok,insulator_ok,0.3480209343042309,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred8,defect_broken,defect_broken,defect_broken,0.3465221509368303,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred9,insulator_ok,defect_broken,defect_broken,0.3425673415443925,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred10,defect_broken,defect_broken,defect_broken,0.3408699688587249,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred11,defect_broken,defect_broken,defect_broken,0.344565756364928,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred12,insulator_ok,insulator_ok,insulator_ok,0.3450620678155009,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred13,defect_flashover,defect_broken,defect_broken,0.3450016293790446,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred14,defect_broken,defect_broken,defect_broken,0.3419158934063586,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred15,defect_broken,insulator_ok,insulator_ok,0.3436189523294439,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred16,insulator_ok,defect_broken,defect_broken,0.3439172243415828,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred17,defect_broken,defect_broken,defect_broken,0.3444132677310121,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred18,insulator_ok,insulator_ok,insulator_ok,0.3461740356518961,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred19,insulator_ok,defect_broken,defect_broken,0.3414375254475827,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred20,defect_broken,defect_broken,defect_broken,0.3452916034539493,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img2_pred21,defect_broken,insulator_ok,insulator_ok,0.3467450472243757,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred22,insulator_ok,defect_broken,defect_broken,0.3448403167695008,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred23,defect_flashover,defect_broken,defect_broken,0.3458784579708772,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img2_pred24,defect_broken,insulator_ok,insulator_ok,0.3503975431128742,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred1,insulator_ok,defect_flashover,defect_flashover,0.3445514422404308,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred2,insulator_ok,defect_flashover,defect_flashover,0.3451650304537629,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred3,unknown,defect_flashover,defect_flashover,0.3449278670470121,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred4,insulator_ok,defect_flashover,defect_flashover,0.349206493657938,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred5,defect_broken,defect_flashover,defect_flashover,0.3367910981153778,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred6,insulator_ok,defect_flashover,defect_flashover,0.3414239329822271,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred7,insulator_ok,defect_flashover,defect_flashover,0.3426552148551227,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred8,defect_flashover,defect_flashover,defect_flashover,0.3386622609391418,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img3_pred9,defect_broken,insulator_ok,insulator_ok,0.3364751555575401,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred10,insulator_ok,defect_flashover,defect_flashover,0.3500720789760419,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred11,insulator_ok,defect_flashover,defect_flashover,0.3410345734166843,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred12,defect_flashover,defect_flashover,defect_flashover,0.3377217308034911,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img3_pred13,insulator_ok,defect_flashover,defect_flashover,0.3445173041667052,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred14,insulator_ok,defect_flashover,defect_flashover,0.3479167590400926,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred15,insulator_ok,defect_flashover,defect_flashover,0.3444544988173933,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred16,insulator_ok,defect_flashover,defect_flashover,0.3479621135429641,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img3_pred17,insulator_ok,insulator_ok,insulator_ok,0.3358845750183992,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img3_pred18,insulator_ok,insulator_ok,insulator_ok,0.3376229088743088,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img3_pred19,insulator_ok,defect_flashover,insulator_ok,0.3379065717366449,qwen_ok_veto_flash_lt034,qwen_ok_veto_flash_lt_0.34,False
val_img4_pred1,defect_flashover,defect_flashover,defect_flashover,0.3338705540910469,qwen_ok_veto_flash_lt034,hard_dinov2,False
val_img4_pred2,defect_flashover,defect_broken,defect_broken,0.3355107116169709,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img4_pred3,defect_broken,defect_flashover,defect_flashover,0.3517384070937724,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img4_pred4,defect_flashover,defect_broken,defect_broken,0.3354447696982023,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img4_pred5,defect_flashover,insulator_ok,insulator_ok,0.3353402652356664,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img4_pred6,defect_flashover,defect_broken,defect_broken,0.334111059482275,qwen_ok_veto_flash_lt034,hard_dinov2,True
val_img5_pred1,defect_flashover,defect_flashover,defect_flashover,0.344288543118908,qwen_ok_veto_flash_lt034,hard_dinov2,False
