record_id,qwen_class,raw_top_class,second_best_class,hybrid_class,confidence,policy,changed
val_img1_pred1,defect_flashover,defect_flashover,defect_broken,defect_flashover,0.4825944084286659,cvgrid_C1_second_best_t0p38,False
val_img1_pred2,defect_flashover,defect_flashover,defect_broken,defect_flashover,0.4156197129440716,cvgrid_C1_second_best_t0p38,False
val_img1_pred3,defect_flashover,insulator_ok,defect_broken,insulator_ok,0.4062819340455206,cvgrid_C1_second_best_t0p38,True
val_img1_pred4,insulator_ok,defect_flashover,insulator_ok,defect_flashover,0.3936907635701669,cvgrid_C1_second_best_t0p38,True
val_img1_pred5,defect_flashover,insulator_ok,defect_broken,insulator_ok,0.3644568453948023,cvgrid_C1_second_best_t0p38,True
val_img1_pred6,defect_broken,defect_flashover,defect_broken,defect_flashover,0.459664142664037,cvgrid_C1_second_best_t0p38,True
val_img1_pred7,defect_broken,defect_flashover,defect_broken,defect_flashover,0.4736307416366017,cvgrid_C1_second_best_t0p38,True
val_img1_pred8,defect_broken,defect_flashover,defect_broken,defect_flashover,0.4171034305645785,cvgrid_C1_second_best_t0p38,True
val_img1_pred9,insulator_ok,defect_flashover,defect_broken,defect_flashover,0.42087768995497,cvgrid_C1_second_best_t0p38,True
val_img1_pred10,defect_flashover,insulator_ok,defect_broken,insulator_ok,0.3943625917673318,cvgrid_C1_second_best_t0p38,True
val_img1_pred11,defect_flashover,insulator_ok,defect_broken,insulator_ok,0.4025592835816924,cvgrid_C1_second_best_t0p38,True
val_img1_pred12,defect_broken,defect_flashover,insulator_ok,defect_flashover,0.4331318870227078,cvgrid_C1_second_best_t0p38,True
val_img1_pred13,defect_flashover,defect_flashover,defect_broken,defect_flashover,0.4486187067247008,cvgrid_C1_second_best_t0p38,False
val_img1_pred14,defect_flashover,defect_flashover,defect_broken,defect_flashover,0.4297662142938536,cvgrid_C1_second_best_t0p38,False
val_img1_pred15,insulator_ok,defect_flashover,defect_broken,defect_flashover,0.4293253675467404,cvgrid_C1_second_best_t0p38,True
val_img1_pred16,insulator_ok,insulator_ok,defect_broken,insulator_ok,0.4063700623656452,cvgrid_C1_second_best_t0p38,False
val_img1_pred17,defect_flashover,defect_flashover,defect_broken,defect_flashover,0.4003935876786592,cvgrid_C1_second_best_t0p38,False
val_img2_pred1,defect_broken,defect_broken,insulator_ok,defect_broken,0.3980874584591916,cvgrid_C1_second_best_t0p38,False
val_img2_pred2,defect_broken,defect_broken,insulator_ok,defect_broken,0.435271258415101,cvgrid_C1_second_best_t0p38,False
